amfi_code,scheme_name,fund_house,sub_category,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,32.87,28.56,19.51
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,12.75,5.16,15.64
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,39.92,18.93,17.93
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,22.95,-3.46,-6.41
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,2.19,2.95,4.55
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,-4.34,-1.8,3.72
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,29.59,14.93,13.35
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,35.72,24.41,23.11
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,39.83,11.29,10.75
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,2.69,4.11,2.92
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,5.67,9.85,8.83
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,17.13,13.18,17.34
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,27.48,15.72,18.11
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,24.87,14.23,12.96
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,5.12,4.96,4.94
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,18.21,13.18,17.22
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,16.71,16.73,11.14
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,30.28,5.81,7.94
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,12.29,13.17,14.88
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,8.23,5.54,2.19
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,29.85,6.33,12.39
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,12.54,9.84,5.59
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,25.06,21.67,22.93
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,5.27,4.52,4.62
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,4.71,0.05,1.86
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,11.4,8.93,10.71
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,21.26,21.29,23.49
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,-22.11,-9.74,-5.54
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,37.52,22.4,17.43
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,-9.2,-5.57,1.32
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.13,4.34,4.32
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,13.98,13.11,13.16
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,-20.09,-3.66,1.51
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,-8.33,17.22,16.36
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,4.46,25.13,18.32
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,18.36,10.11,11.16
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,40.29,20.89,18.83
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,8.56,13.59,10.92
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,11.01,24.69,23.44
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,38.62,17.05,21.55
