amfi_code,scheme_name,fund_house,sub_category,expense_ratio_pct,cagr_3yr_pct,sharpe_ratio_computed,alpha,max_drawdown_pct_computed,rank_3yr_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score,score_0_100
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,1.38,24.41,0.8083,0.272,-16.22,37.0,34.0,35.0,24.0,20.0,32.2,100.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,1.46,25.13,1.0682,0.2698,-11.27,39.0,40.0,34.0,18.0,8.0,32.0,99.2
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,1.36,15.72,0.8833,0.2926,-18.19,28.0,37.0,38.0,26.0,25.0,31.65,97.7
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,1.45,21.67,0.9656,0.2733,-12.97,35.0,39.0,36.0,19.0,13.0,31.6,97.5
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,1.43,18.93,0.7117,0.3034,-28.71,32.0,28.0,40.0,20.0,36.0,31.200000000000003,95.8
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,1.38,21.29,0.7305,0.2608,-20.96,34.0,32.0,32.0,24.0,28.0,31.000000000000004,95.0
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,1.54,28.56,0.861,0.232,-15.01,40.0,36.0,31.0,10.5,17.0,30.474999999999998,92.8
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,1.52,17.05,0.7144,0.3006,-31.17,30.0,29.0,39.0,14.5,37.0,29.925,90.4
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,1.6,20.89,0.919,0.2827,-16.4,33.0,38.0,37.0,4.5,21.0,29.575,89.0
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,1.61,24.69,0.8329,0.266,-17.25,38.0,35.0,33.0,3.0,22.0,29.4,88.2
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,1.51,13.18,0.7589,0.2183,-17.41,23.5,33.0,30.0,16.5,23.0,26.075000000000003,74.3
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,1.6,22.4,0.7174,0.214,-11.29,36.0,31.0,29.0,4.5,9.0,25.924999999999997,73.6
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,0.8,13.18,0.7147,0.2119,-12.59,23.5,30.0,28.0,29.0,12.0,25.7,72.7
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,0.72,16.73,0.3888,0.1564,-18.63,29.0,20.0,19.0,35.5,26.0,25.425,71.5
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,0.92,14.93,0.5063,0.1773,-15.2,27.0,23.0,25.0,27.0,18.0,24.700000000000003,68.5
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,1.41,14.23,0.4046,0.1625,-19.83,26.0,22.0,21.0,22.0,27.0,23.5,63.4
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,0.66,5.16,0.6482,0.1987,-11.8,12.0,27.0,26.0,37.0,11.0,22.200000000000003,58.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,1.52,10.11,0.6407,0.2087,-15.27,19.0,26.0,27.0,14.5,19.0,21.675,55.8
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,1.64,17.22,0.3846,0.1621,-21.54,31.0,19.0,20.0,1.5,30.0,21.275,54.1
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,1.42,9.85,0.5166,0.177,-13.9,18.0,24.0,24.0,21.0,14.0,20.749999999999996,51.9
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,0.89,13.17,0.3932,0.1514,-11.65,22.0,21.0,18.0,28.0,10.0,20.65,51.5
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,0.78,11.29,0.1348,0.1199,-21.12,20.0,15.0,15.0,31.0,29.0,20.299999999999997,50.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,1.57,13.11,0.5198,0.1705,-10.86,21.0,25.0,22.0,7.0,7.0,18.700000000000003,43.3
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,0.75,8.93,-0.0471,0.0823,-21.75,16.0,13.0,13.0,33.0,31.0,18.700000000000003,43.3
