amfi_code,sortino_ratio_computed
119551,1.2915
119552,0.9266
119598,1.0673
119599,-0.19
119120,-1.0459
100016,-0.4728
125497,0.7348
100033,1.1442
125498,0.1929
100025,-1.4612
120503,0.7329
120504,1.064
120505,1.2858
120506,0.5781
120507,-7.2082
118632,1.0989
118633,0.5886
118634,0.4113
118635,0.5694
118636,-1.2383
120841,0.3766
120842,-0.0807
120843,1.4795
120844,-7.768
119092,-0.1892
119093,-0.0679
119094,1.0553
119095,-0.2163
101206,1.0639
101207,0.0757
101208,-8.7417
102885,0.773
102886,-0.4206
102887,0.5719
148567,1.4907
148568,0.9558
148569,1.3528
149322,0.333
149323,1.1678
149324,1.031
